State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
RAJASTHAN,DHOLPUR,106,1206516,653647,552869,683098,435721,247377,273296,214670,58626,96086,24561,1330,9504,51423,117770,3614,1127520,72258,688,1356,92,2739,21,54.0,46.0,85.0,64.0,36.0
RAJASTHAN,KARAULI,107,1458248,783639,674609,805849,531904,273945,364355,305047,59308,132079,28296,1059,13045,49752,166652,3820,1370977,81553,602,297,70,3424,413,54.0,46.0,86.0,66.0,34.0
RAJASTHAN,SAWAI MADHOPUR,108,1335551,704031,631520,741748,486184,255564,353321,282057,71264,140947,40116,1887,14310,61935,171024,4398,1165505,155681,945,812,177,9991,42,53.0,47.0,90.0,66.0,34.0
RAJASTHAN,DAUSA,109,1634409,857787,776622,938051,596935,341116,420694,361084,59610,195277,35600,1719,14539,82113,202591,6664,1582335,45488,439,296,94,3737,115,52.0,48.0,91.0,64.0,36.0
RAJASTHAN,JAIPUR,110,6626178,3468507,3157671,4300965,2554793,1746172,1732679,754841,977838,990085,570997,76565,182350,764302,974168,142866,5819980,687452,12708,18782,1020,81079,257,52.0,48.0,91.0,59.0,41.0
RAJASTHAN,SIKAR,111,2677333,1374990,1302343,1652117,995275,656842,705834,527560,178274,339457,131342,5647,28382,218772,384989,22494,2342076,327583,1122,356,177,4050,15,51.0,49.0,95.0,60.0,40.0
RAJASTHAN,NAGAUR,112,3307743,1696325,1611418,1758624,1102750,655874,842201,675712,166489,347344,97267,4449,35328,184518,465022,26150,2833443,454487,1912,366,163,12940,276,51.0,49.0,95.0,63.0,37.0
RAJASTHAN,JODHPUR,113,3687165,1923928,1763237,2031532,1265753,765779,891657,584215,307442,408808,197135,19335,54808,246002,491165,40768,3224399,411558,6035,4123,514,36697,80,52.0,48.0,92.0,62.0,38.0
RAJASTHAN,JAISALMER,114,669919,361708,308211,308653,210415,98238,189947,159117,30830,43141,12431,754,7416,19388,81102,5218,497045,168129,874,1723,98,1521,34,54.0,46.0,85.0,68.0,32.0
RAJASTHAN,BARMER,115,2603751,1369022,1234729,1188322,783461,404861,598805,542825,55980,126494,39580,2766,37730,52926,299183,27009,2244882,321192,1157,450,157,34010,34,53.0,47.0,90.0,66.0,34.0
RAJASTHAN,JALORE,116,1828730,936634,892096,829582,543923,285659,467418,419216,48202,161845,39745,1585,12794,54245,237522,12367,1732852,78990,730,231,144,14640,82,51.0,49.0,95.0,66.0,34.0
RAJASTHAN,SIROHI,117,1036346,534231,502115,476806,309900,166906,308174,238535,69639,134089,47182,2146,10297,65197,125006,6343,996562,30479,1284,572,114,6829,56,52.0,48.0,94.0,65.0,35.0
RAJASTHAN,PALI,118,2037573,1025422,1012151,1085693,667381,418312,652717,512909,139808,326793,94821,4043,19270,154761,316935,14175,1870543,143476,1345,1540,141,18974,52,50.0,50.0,99.0,61.0,39.0
